tysonscorner,Tysons Corner,McLean,VA,USA,"May 19, 2001",2001,010,
glendalegalleria,Glendale Galleria,Glendale,CA,USA,"May 19, 2001",2001,001,
mallofamerica,Mall of America,Bloomington,MN,USA,"August 11, 2001",2001,007,
woodfield,Woodfield,Schaumburg,IL,USA,"August 23, 2001",2001,018,
marketstreet,MarketStreet,Lynnfield,MA,USA,"September 1, 2001",2001,011,
eastontowncenter,Easton Town Center,Columbus,OH,USA,"September 7, 2001",2001,009,
internationalplaza,International Plaza,Tampa,FL,USA,"September 18, 2001",2001,019,
paloalto,Palo Alto,Palo Alto,CA,USA,"October 10, 2001",2001,002,
crossgates,Crossgates,Albany,NY,USA,"October 13, 2001",2001,017,
saddlecreek,Saddle Creek,Germantown,TN,USA,"October 13, 2001",2001,020,
chandlerfashioncenter,Chandler Fashion Center,Chandler,AZ,USA,"October 20, 2001",2001,026,
northridge,Northridge,Northridge,CA,USA,"October 20, 2001",2001,023,
westfarms,Westfarms,Farmington,CT,USA,"October 27, 2001",2001,025,
ticescorner,Tice's Corner,Woodcliff Lake,NJ,USA,"November 3, 2001",2001,013,
kenwoodtownecentre,Kenwood Towne Centre,Cincinnati,OH,USA,"November 3, 2001",2001,028,
aspengrove,Aspen Grove,Littleton,CO,USA,"November 10, 2001",2001,030,
fashionisland,Fashion Island,Newport Beach,CA,USA,"November 10, 2001",2001,015,
waldengalleria,Walden Galleria,Buffalo,NY,USA,"November 23, 2001",2001,016,
thefalls,The Falls,Miami,FL,USA,"November 23, 2001",2001,012,
fashionvalley,Fashion Valley,San Diego,CA,USA,"November 23, 2001",2001,040,
valleyfair,Valley Fair,Santa Clara,CA,USA,"November 23, 2001",2001,039,
clarendon,Clarendon,Arlington,VA,USA,"December 1, 2001",2001,036,
southcoastplaza,South Coast Plaza,Costa Mesa,CA,USA,"December 1, 2001",2001,004,
rockinghampark,Rockingham Park,Salem,NH,USA,"December 8, 2001",2001,027,
nanuet,Nanuet,Nanuet,NY,USA,"December 8, 2001",2001,046,
cambridgeside,Cambridgeside,Cambridge,MA,USA,"December 15, 2001",2001,021,
southpoint,Southpoint,Durham,NC,USA,"March 9, 2002",2002,049,
scottsdalefashionsquare,Scottsdale Fashion Square,Scottsdale,AZ,USA,"March 30, 2002",2002,031,
lenoxsquare,Lenox Square,Atlanta,GA,USA,"May 11, 2002",2002,006,
shorthills,Short Hills,Short Hills,NJ,USA,"June 22, 2002",2002,043,
soho,SoHo,New York,NY,USA,"July 18, 2002",2002,032,
rooseveltfield,Roosevelt Field,Garden City,NY,USA,"July 20, 2002",2002,060,
thegrove,The Grove,Los Angeles,CA,USA,"July 26, 2002",2002,050,
wellingtongreen,Wellington Green,Wellington,FL,USA,"August 17, 2002",2002,024,
twelveoaks,Twelve Oaks,Novi,MI,USA,"August 31, 2002",2002,041,
mayfair,Mayfair,Wauwatosa,WI,USA,"August 31, 2002",2002,059,
thewestchester,The Westchester,White Plains,NY,USA,"September 7, 2002",2002,061,
westcounty,West County,St. Louis,MO,USA,"September 21, 2002",2002,062,
houstongalleria,Houston Galleria,Houston,TX,USA,"September 21, 2002",2002,058,
towsontowncenter,Towson Town Center,Towson,MD,USA,"October 5, 2002",2002,063,
somerset,Somerset,Troy,MI,USA,"October 12, 2002",2002,055,
millenia,Millenia,Orlando,FL,USA,"October 19, 2002",2002,053,
thefashionmallatkeystone,The Fashion Mall at Keystone,Indianapolis,IN,USA,"November 2, 2002",2002,066,
